neighbourhood,municipality,longitude,latitude,play_demand,a_00_14
De Heeg,Maastricht,5.7288931,50.8249814,6,780
Meerssen,Meerssen,5.7526367,50.8849427,5,725
Nederweert,Nederweert,5.7527014,51.2865631,6,985
Elsloo,Stein,5.7696738,50.9484656,6,925
Vaals,Vaals,6.0112743,50.7732182,5,720
Kern Belfeld,Venlo,6.1209199,51.3136515,5,810
Sassenheim,Teylingen,4.5097116,52.2194839,6,2495
Oosthout,Teylingen,4.4863318,52.2223012,5,805
Wildbaan-Dennenburg,Utrechtse Heuvelrug,5.2778915,52.0360718,6,1000
Leersum,Utrechtse Heuvelrug,5.4295484,52.0120583,6,1005
Gemert-Oost,Gemert-Bakel,5.6828876,51.5513033,5,1115
Oud Gastel,Halderberge,4.4629309,51.5839216,5,810
Heeze,Heeze-Leende,5.5758263,51.3809718,6,1280
Beek,Laarbeek,5.6302688,51.5394924,5,890
Reusel,Reusel-De Mierden,5.1728762,51.3659873,6,1145
Kalsdonk,Roosendaal,4.4744453,51.5403381,5,855
Cuijk Heeswijkse Kampen,Cuijk,5.8573828,51.7408809,6,1280
Schaijk,Landerd,5.6297284,51.7484858,5,930
"Rade, Oranjebuurt, Munniksveen en omgeving",Wijdemeren,5.09164,52.2299147,6,925
Nieuw-Loosdrechtsedijk,Wijdemeren,5.066667,52.216667,6,1035
Roden,Noordenveld,6.4371719,53.1358984,6,945
Roden West,Noordenveld,6.4371719,53.1358984,6,1270
Bemmel,Lingewaard,5.8953743,51.889401,6,1945
Gendt,Lingewaard,5.9732173,51.8746119,5,880
Uitbreiding Stad Huissen,Lingewaard,5.949701,51.9403084,6,965
Zilverkamp,Lingewaard,5.9271487,51.9441013,5,840
Budel,Cranendonck,5.5763506,51.2741027,6,1105
Klundert,Moerdijk,4.5328828,51.6643563,5,880
Made,Drimmelen,4.7943492,51.6807586,6,1700
Terheijden,Drimmelen,4.7512386,51.6443817,5,850
Bladel,Bladel,5.2136395,51.362963,6,1455
Eelde,Tynaarlo,6.564273,53.1331083,6,1100
Beilen,Midden-Drenthe,6.4983409,52.8629348,6,1380
Elst-Zuidwest,Overbetuwe,5.8484157,51.9029351,6,1025
Elst-Noordoost,Overbetuwe,5.8286929,51.9357513,6,2015
Opheusden,Neder-Betuwe,5.629707,51.9330254,6,1280
De Delle,Rijssen-Holten,6.4883453,52.2951944,6,1160
Coevering,Geldrop-Mierlo,5.580405,51.4165601,6,825
Mierlo,Geldrop-Mierlo,5.6200096,51.4389663,6,1475
Den Hoorn,Midden-Delfland,4.3301033,51.9995814,6,1605
Borculo overige komgebieden,Berkelland,6.5203603,52.1135036,6,895
Eibergen-Centrum en -Oost,Berkelland,6.626016,52.1008905,5,810
Neede,Berkelland,6.6293318,52.133808,6,1065
Ruurlo,Berkelland,6.4548904,52.081603,6,810
Zelhem,Bronckhorst,6.3495613,52.0059816,5,770
Limbrichterveld,Sittard-Geleen,5.8455184,50.9994599,7,865
Kemperkoul,Sittard-Geleen,5.8881304,50.9868541,6,810
Lindenheuvel,Sittard-Geleen,5.8166966,50.985204,7,1035
Geleen-Zuid,Sittard-Geleen,5.8293893,50.9531912,5,625
Damwâld,Dantumadiel,6.0,53.283333,5,905
Panningen,Peel en Maas,5.9794342,51.3288575,7,815
Broekvelden,Bodegraven-Reeuwijk,4.7460844,52.0823259,5,1160
Kleine Sluis inclusief Spoorbuurt,Hollands Kroon,4.8238091,52.8616158,6,1170
Prinsenhof hoog,Leidschendam-Voorburg,4.4120868,52.100873,5,820
De Venen Centrum,Pijnacker-Nootdorp,4.4121456,52.039803,5,930
Didam-Noord,Montferland,6.1558917,51.9350045,7,1000
Leerdam-West,Vijfheerenlanden,5.0822693,51.8881603,7,1160
Leerdam-Noord,Vijfheerenlanden,5.0954114,51.9061425,5,970
Monnikenhof en Amaliastein,Vijfheerenlanden,5.0697869,51.9815011,6,1315
Oud-Beijerland Zoomwijck,Hoeksche Waard,4.3926088,51.8245814,5,885
Puttershoek Woonkern,Hoeksche Waard,4.5664733,51.8053785,6,1060
's-Gravendeel Woonkern,Hoeksche Waard,4.6180902,51.7792843,6,1315
Strijen Woonkern,Hoeksche Waard,4.5539197,51.7446835,6,950
Numansdorp Woonkern,Hoeksche Waard,4.4382137,51.734768,6,1110
Bedum,Het Hogeland,6.5998288,53.3016754,6,1205
Marum,Westerkwartier,6.2673259,53.1462522,5,910
Zuidhorn,Westerkwartier,6.4081044,53.2431482,6,1475
Nieuw-Lekkerland-Dorp,Molenlanden,4.6858964,51.8872759,5,1055
