neighbourhood,municipality,longitude,latitude,play_demand,a_00_14
"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",Utrecht,5.0914941,52.0954178,5,900
Ondiep,Utrecht,5.1042101,52.1061645,6,865
Wolga- en Donaudreef en omgeving,Utrecht,5.1253497,52.1132227,5,1020
Vechtzoom-zuid,Utrecht,5.0995948,52.116998,5,975
Zambesidreef en omgeving,Utrecht,5.1071274,52.1219895,5,950
Tigrisdreef en omgeving,Utrecht,5.1071274,52.1219895,5,1090
Tuindorp en Van Lieflandlaan-West,Utrecht,5.1360992,52.1087671,6,1320
Wittevrouwen,Utrecht,5.1360279,52.0994663,5,1000
Lunetten-Zuid,Utrecht,5.1338595,52.0610296,7,1180
Rivierenwijk,Utrecht,5.1147611,52.0738156,7,1435
Kanaleneiland-Zuid,Utrecht,5.1020828,52.0677229,6,1900
Kanaleneiland-Noord,Utrecht,5.0974735,52.0785501,5,1330
Terwijde-West,Utrecht,5.0433368,52.107455,5,1305
Terwijde-Oost,Utrecht,5.0433368,52.107455,6,1290
Het Zand-West,Utrecht,5.0535542,52.0910706,5,1865
Het Zand-Oost,Utrecht,5.0535542,52.0910706,6,1245
Parkwijk-Noord,Utrecht,5.0535542,52.0910706,5,840
Vleuten,Utrecht,5.0105849,52.1088514,6,1150
Vleuterweide-West,Utrecht,5.0077233,52.0930262,5,1895
Vleuterweide-Noord/Oost/Centrum,Utrecht,5.0077233,52.0930262,6,2190
Vleuterweide-Zuid,Utrecht,5.0077233,52.0930262,5,1640
Veldhuizen,Utrecht,5.01236,52.0822001,6,2130
De Meern-Zuid,Utrecht,5.0347862,52.0785873,6,1100
Franse Gat,Veenendaal,5.5358854,52.0162597,7,1165
Centrumschil-Noord,Zeist,5.2367732,52.0897176,6,915
Vollenhove,Zeist,5.2261262,52.1034812,5,990
Jutphaas Wijkersloot,Nieuwegein,5.0822153,52.0313972,7,960
Zuilenstein,Nieuwegein,5.0916585,52.0469231,5,910
Batau Zuid,Nieuwegein,5.0691378,52.0319605,6,1200
Batau Noord,Nieuwegein,5.0729949,52.05304,6,1095
Doorslag,Nieuwegein,5.0737471,52.0211419,6,885
Galecop,Nieuwegein,5.0729949,52.05304,6,1050
Fokkesteeg,Nieuwegein,5.0868209,52.0205781,6,1085
Stommeer,Aalsmeer,4.735323,52.2505822,6,1010
Kudelstaart,Aalsmeer,4.7519489,52.2384184,6,1790
Oosteinde,Aalsmeer,4.7932523,52.2802074,6,1775
Elsrijk Oost,Amstelveen,4.8616808,52.3120541,5,845
Noordoostkwadrant Indische buurt,Amsterdam,4.9567275,52.3614375,5,835
Haveneiland Noordoost,Amsterdam,5.0005613,52.3555895,6,1485
Bosleeuw,Amsterdam,4.8540225,52.3817073,6,875
Haveneiland Oost,Amsterdam,5.0005613,52.3555895,6,1985
Middenmeer Zuid,Amsterdam,4.9482332,52.3511236,6,1055
Markengouw Midden,Amsterdam,4.9558257,52.3934948,5,885
Buurt 3,Amsterdam,4.825779,52.3815295,5,1300
Buurt 5 Noord,Amsterdam,4.8192201,52.3724594,5,840
Buurt 5 Zuid,Amsterdam,4.8192201,52.3724594,5,860
Buurt 8,Amsterdam,4.7834602,52.3765795,5,880
Buurt 9,Amsterdam,4.7834602,52.3765795,6,1300
Osdorp Midden Zuid,Amsterdam,4.7901227,52.3576375,5,895
Zuidwestkwadrant Osdorp Zuid,Amsterdam,4.7901227,52.3576375,7,1220
De Punt,Amsterdam,4.7901227,52.3576375,6,1120
